Month,Date,Location,Phase of the day ,Target,additional Target info 1 ,additional Target info 2,Images name ,Folder idenifier ,additional info 1 ,additional info 2,additional info 3,additional info 3,additional info 4
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-9.80C_10.000secs_00000170.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-9.90C_10.000secs_00000206.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-9.90C_10.000secs_00000211.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000179.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000184.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000189.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000194.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000199.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000215.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000220.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-10.00C_10.000secs_00000225.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-11.00C_10.000secs_00000154.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-9.70C_10.000secs_00000164.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-9.80C_10.000secs_00000169.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-9.90C_10.000secs_00000159.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-9.90C_10.000secs_00000174.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-9.90C_10.000secs_00000205.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_None_-9.90C_10.000secs_00000210.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000158.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000178.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000183.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000188.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000193.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000198.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000214.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000219.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-10.00C_10.000secs_00000224.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-11.10C_10.000secs_00000153.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-9.70C_10.000secs_00000163.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-9.80C_10.000secs_00000168.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-9.90C_10.000secs_00000173.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-9.90C_10.000secs_00000204.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_R Filter_-9.90C_10.000secs_00000209.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000007.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000008.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000009.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000010.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000011.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000012.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000013.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000014.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000015.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000016.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000017.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000018.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000019.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000020.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000021.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000022.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000023.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000024.fit,,-,,,,
